iter	Passed	Remaining
0	137	41115
1	139	20813
2	141	14048
3	144	10656
4	145	8594
5	147	7211
6	148	6230
7	149	5474
8	151	4889
9	152	4422
10	153	4033
11	154	3712
12	155	3439
13	156	3204
14	158	3003
15	159	2827
16	160	2669
17	161	2528
18	162	2406
19	163	2293
20	164	2190
21	165	2097
22	167	2012
23	168	1935
24	169	1863
25	170	1797
26	171	1735
27	172	1679
28	174	1626
29	175	1575
30	176	1532
31	177	1487
32	178	1446
33	179	1408
34	181	1371
35	182	1336
36	183	1303
37	184	1274
38	185	1244
39	187	1216
40	188	1189
41	189	1163
42	190	1139
43	191	1116
44	193	1093
45	194	1071
46	195	1051
47	196	1032
48	197	1013
49	199	995
50	200	977
51	201	959
52	202	943
53	203	926
54	205	913
55	206	899
56	208	887
57	209	874
58	210	861
59	212	848
60	213	836
61	214	824
62	215	812
63	217	800
64	218	788
65	219	777
66	220	766
67	221	756
68	222	745
69	223	735
70	224	725
71	226	715
72	227	706
73	228	697
74	229	688
75	230	679
76	231	670
77	233	663
78	234	655
79	235	647
80	236	639
81	237	632
82	238	624
83	240	617
84	241	610
85	242	603
86	243	596
87	244	589
88	245	582
89	247	577
90	248	570
91	249	564
92	250	557
93	251	551
94	252	545
95	253	539
96	254	533
97	255	527
98	257	521
99	258	516
100	259	510
101	260	505
102	261	500
103	262	495
104	263	489
105	264	484
106	266	479
107	267	474
108	268	469
109	269	464
110	270	460
111	271	456
112	272	451
113	273	446
114	275	442
115	276	438
116	277	433
117	278	429
118	279	425
119	280	421
120	281	416
121	282	412
122	283	408
123	285	404
124	286	400
125	287	396
126	288	392
127	289	389
128	290	385
129	291	381
130	292	377
131	293	374
132	294	370
133	295	366
134	297	363
135	298	359
136	299	355
137	300	352
138	301	349
139	302	345
140	303	342
141	304	339
142	305	335
143	306	332
144	308	329
145	309	325
146	310	322
147	311	319
148	312	316
149	313	313
150	314	310
151	315	307
152	317	304
153	318	301
154	319	298
155	320	296
156	321	293
157	323	290
158	324	287
159	325	284
160	326	281
161	327	278
162	328	276
163	330	273
164	331	271
165	333	268
166	334	266
167	335	263
168	336	260
169	337	258
170	338	255
171	340	253
172	341	250
173	342	247
174	343	245
175	344	243
176	346	240
177	347	237
178	348	235
179	349	232
180	350	230
181	351	227
182	352	225
183	353	222
184	354	220
185	355	218
186	356	215
187	358	213
188	359	211
189	360	208
190	361	206
191	362	203
192	363	201
193	364	199
194	365	196
195	366	194
196	367	192
197	368	190
198	369	187
199	371	185
200	372	183
201	373	181
202	374	178
203	375	176
204	376	174
205	377	172
206	378	170
207	379	167
208	380	165
209	381	163
210	382	161
211	383	159
212	385	157
213	386	155
214	387	153
215	388	150
216	389	148
217	390	146
218	391	144
219	392	142
220	393	140
221	394	138
222	395	136
223	397	134
224	398	132
225	399	130
226	401	128
227	402	126
228	403	124
229	404	123
230	405	121
231	406	119
232	407	117
233	408	115
234	409	113
235	410	111
236	411	109
237	413	107
238	414	105
239	415	103
240	415	101
241	416	99
242	417	98
243	418	96
244	420	94
245	421	92
246	422	90
247	423	88
248	424	86
249	425	85
250	427	83
251	428	81
252	429	79
253	430	78
254	431	76
255	433	74
256	434	72
257	435	70
258	436	69
259	437	67
260	439	65
261	440	63
262	441	62
263	442	60
264	443	58
265	445	56
266	446	55
267	447	53
268	448	51
269	449	49
270	451	48
271	452	46
272	453	44
273	455	43
274	455	41
275	457	39
276	458	38
277	459	36
278	460	34
279	461	32
280	462	31
281	463	29
282	464	27
283	465	26
284	467	24
285	468	22
286	469	21
287	470	19
288	471	17
289	472	16
290	473	14
291	474	13
292	476	11
293	477	9
294	478	8
295	479	6
296	481	4
297	482	3
298	483	1
299	484	0
